                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0777,                 7.2734,                 1.7333,                      0,                      0,                      0,                      0,                  3.385,                  4.408,                 1.2402,             0.00011669,             0.00011669,             0.00011669
                      2,                  3.956,                 8.2388,                  1.582,                      0,                      0,                      0,                      0,                 2.8101,                 4.1736,                 1.0439,              0.0002451,              0.0002451,              0.0002451
                      3,                  2.812,                 5.5441,                   1.15,                 0.0011,                0.03704,                 0.0006,                  6e-05,                 2.0335,                 3.9958,                0.92867,             0.00036823,             0.00036823,             0.00036823
                      4,                 2.4265,                 4.3456,                0.98428,                0.00317,                0.11111,                0.00243,                 0.0005,                 2.1811,                 3.9011,                0.96134,             0.00048607,             0.00048607,             0.00048607
                      5,                 2.3233,                 3.6155,                0.94611,                0.00906,                 0.3366,                0.00993,                0.00172,                  2.303,                 3.6961,                0.95619,             0.00059864,             0.00059864,             0.00059864
                      6,                 2.3784,                 4.0977,                0.91248,                0.01986,                0.80501,                 0.0287,                0.01021,                 2.1334,                  3.317,                0.90896,             0.00070592,             0.00070592,             0.00070592
                      7,                 2.6335,                 3.6084,                0.99282,                0.02414,                      1,                0.03955,                 0.0174,                 2.0139,                 3.0528,                0.90902,             0.00080793,             0.00080793,             0.00080793
                      8,                 2.3679,                 3.4165,                0.94602,                0.02425,                      1,                0.27016,                0.11806,                 2.0446,                  2.845,                0.93572,             0.00090465,             0.00090465,             0.00090465
                      9,                  2.154,                 2.9805,                0.94955,                0.02371,                0.98148,                0.74321,                0.26183,                 2.2306,                 2.5431,                0.97941,             0.00099609,             0.00099609,             0.00099609
                     10,                 2.3643,                 2.7237,                0.96131,                0.02371,                0.98148,                0.74321,                0.26183,                 2.2306,                 2.5431,                0.97941,              0.0010823,              0.0010823,              0.0010823
                     11,                 2.3672,                 3.0006,                0.95359,                0.96147,                0.47716,                0.88971,                0.33071,                 2.0797,                 2.0646,                0.96205,              0.0011631,              0.0011631,              0.0011631
                     12,                 1.9801,                 2.4755,                0.94698,                0.96147,                0.47716,                0.88971,                0.33071,                 2.0797,                 2.0646,                0.96205,              0.0012387,              0.0012387,              0.0012387
                     13,                 2.2439,                 2.2778,                0.92143,                0.89906,                0.64465,                0.93253,                0.41542,                 1.9614,                 1.5537,                0.91296,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.3155,                 2.1944,                0.93122,                0.89906,                0.64465,                0.93253,                0.41542,                 1.9614,                 1.5537,                0.91296,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.1856,                 2.0804,                0.95876,                0.88644,                0.73876,                0.95485,                0.43587,                 1.8787,                  1.171,                 0.8954,              0.0012049,              0.0012049,              0.0012049
